country,pop,lifeExp,gdpPercap,total_emissions,per_capita_emissions
Albania,3600523,76.423,5937.029526,3825.184,1.27
Algeria,33333216,72.301,6223.367465,77474.13,2.327
Angola,12420476,42.731,4797.231267,6146.691,0.314
Argentina,40301927,75.32,12779.37964,149476.04,3.819
Australia,20434176,81.235,34435.36744,365515.118,17.873
Austria,8199783,79.829,36126.4927,74764.026,9.09
Bahrain,708573,75.635,29796.04834,20564.912,23.133
Bangladesh,150448339,64.062,1391.253792,31960.244,0.223
Belgium,10392226,79.441,33692.60508,107676.772,10.275
Benin,8078314,56.728,1441.284873,2677.863,0.335
Bosnia and Herzegovina,4552198,74.852,7446.298803,15857.733,4.193
Botswana,1639131,50.728,12569.85177,4278.592,2.305
Brazil,190010647,72.39,9065.800825,311623.799,1.667
Bulgaria,7322858,73.005,10680.79282,46473.483,6.068
Cambodia,14131858,59.723,1713.778686,2639.032,0.199
Cameroon,17696293,50.43,2042.09524,2935.781,0.169
Canada,33390141,80.653,36319.23501,540431.495,16.762
Chile,16284741,78.553,13171.63885,54434.634,3.343
China,1318683096,72.961,4959.114854,5407518.03,4.148
Colombia,44227550,72.889,7006.580419,53585.3,1.238
Costa Rica,4133884,78.782,9645.06142,5463.059,1.286
Croatia,4493312,75.748,14619.22272,19917.214,4.484
Cuba,11416987,78.273,8948.102923,25051.431,2.22
Denmark,5468120,78.332,35278.41874,48494.944,8.949
Dominican Republic,9319622,72.235,6025.374752,17522.139,1.897
Ecuador,13755680,74.994,6873.262326,23926.725,1.742
Egypt,80264543,71.338,5581.180998,145027.708,1.889
El Salvador,6939688,71.878,5728.353514,6252.815,1.037
Eritrea,4906585,58.04,641.3695236,578.183,0.146
Ethiopia,76511887,52.947,690.8055759,4482.124,0.058
Finland,5238460,79.313,33207.0844,54918.043,10.469
France,61083916,80.657,30470.0167,371892.91,5.887
Gabon,1454867,56.735,13206.48452,1733.485,1.236
Germany,82400996,79.406,32170.37442,786664.297,9.672
Ghana,22873338,60.022,1327.60891,6306.508,0.293
Greece,10706290,79.483,27538.41188,95156.324,8.661
Guatemala,12572928,70.259,5186.050003,10621.597,0.811
Haiti,8502814,60.916,1201.637154,1980.992,0.214
Honduras,7483763,70.198,3548.330846,7192.737,0.976
Hungary,9956108,73.338,18008.94444,54722.182,5.425
Iceland,301931,81.757,36180.78919,2235.38,7.552
India,1110396331,64.698,2452.210407,1073700.993,0.938
Indonesia,223547000,70.65,3540.651564,317824.312,1.402
Iraq,27499638,59.545,4471.061906,73175.677,2.709
Ireland,4109086,78.885,40675.99635,44420.119,10.678
Israel,6426679,80.745,25523.2771,58796.711,8.447
Italy,58147733,80.546,28569.7197,456431.826,7.844
Jamaica,2780132,72.567,7320.880262,10281.648,3.746
Japan,127467972,82.603,31656.06806,1166814.399,9.133
Jordan,6053193,72.535,4519.461171,17922.443,3.137
Kenya,35610177,54.11,1463.249282,7483.192,0.208
Kuwait,2505559,77.588,47306.98978,64750.023,28.437
Lebanon,3921278,71.993,10461.05868,14523.599,3.643
